test_id,array_size,sort_method,timestamp
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,377.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,377.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,377.0nS
50,10,bubble_sort,377.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,377.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,377.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,377.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,1132.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,377.0nS
50,10,insertion_sort,377.0nS
50,10,merge_sort,377.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,377.0nS
50,10,merge_sort,377.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,377.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,377.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,377.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,377.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,755.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,377.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,377.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,377.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,377.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,377.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,755.0nS
50,10,count_sort,755.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,377.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,1133.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,377.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,377.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,377.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,377.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,377.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,377.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,754.0nS
50,10,radix_sort,377.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,377.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,377.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,754.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,378.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,377.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,377.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,377.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,378.0nS
50,10,count_sort,377.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,378.0nS
50,10,bucket_sort,377.0nS
50,10,radix_sort,377.0nS
50,10,bubble_sort,377.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,377.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,377.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,377.0nS
